kws_method,semantic_similarity,cutoff_threshold,weighting_factor,map@25,map@50
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.2,94.36668770688166,88.08104023073565
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.30000000000000004,79.09880119750969,74.10281042392226
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.30000000000000004,93.82930305953465,87.86179338941525
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.30000000000000004,79.04449456699487,74.03373933447747
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.30000000000000004,93.25248748575197,87.3686403709886
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.30000000000000004,80.36677772211779,75.25207650255571
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.30000000000000004,95.27370832054498,88.90657260163952
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.4,85.13269658660577,79.83569145224493
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.4,95.04308814621959,88.8182057806911
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.4,84.82202726672841,79.41473753320463
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.4,94.38592437286331,88.20028172733716
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.4,84.15387694562038,78.83248604367665
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.4,96.0362715039853,89.56971738241663
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.5,89.4172499393051,83.85071855209233
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.5,96.00095892164305,89.62214455255719
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,,0.5,89.05073025043956,83.18801557309354
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,,0.5,95.33548592410921,89.01331744952628
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,,0.5,87.91447579256443,82.31671973904841
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,,0.5,96.32388136396037,89.89729242383542
WRN,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,,0.6000000000000001,91.7797907857045,85.84860212362634
WRN,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,,0.6000000000000001,96.56112613202795,90.08324323112038
