kws_method,semantic_similarity,weighting_factor,map@25,map@25_std,map@50,map@50_std
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,1.0,79.15017194181621,,72.84755978801051,
WRN,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,1.0,79.15017194181621,,72.84755978801051,
WRN,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,1.0,79.1501719418162,,72.84755978801051,
WRN,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,1.0,79.15017194181621,,72.84755978801051,
SegFreeKWS,,,86.40158137538138,,63.73305481745203,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.0,77.30289138398936,,57.784215687925254,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.0,74.0366331093233,,55.89327690338036,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.0,76.74261149629812,,57.23564598396048,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.0,71.96679097198941,,54.39450581211881,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.0,76.48763651695023,,57.40393269370186,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.0,76.10492145321497,,57.18249055757486,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.1,81.96722387022096,,60.86042193248326,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.1,79.46878989446454,,59.188104797785215,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.1,81.51313581271242,,60.46787918659356,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.1,77.60720952543771,,57.84571326265129,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.1,80.17450334824395,,59.87897737474432,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.1,79.44962967744196,,59.12207490837874,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.2,85.06718665484692,,62.77938322262118,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.2,82.5561936653145,,61.09245140148124,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.2,84.65964375875254,,62.48718380827364,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.2,81.31111702056536,,60.19812098365449,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.2,83.0631937950669,,61.793812510876656,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.2,81.958508827617,,60.78602571659679,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.30000000000000004,86.60414777497371,,63.77470029253759,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.30000000000000004,84.14952841028443,,62.101055509770575,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.30000000000000004,86.29737658615703,,63.5572868570969,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.30000000000000004,83.31886839517949,,61.467807692156015,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.30000000000000004,85.44379244023168,,63.31760079704822,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.30000000000000004,83.81549356163698,,61.990087605103795,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.4,87.5236159885285,,64.37292681601579,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.4,85.02913353345988,,62.709872722891,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.4,87.27977854458435,,64.17180020325513,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.4,84.663823649977,,62.37672163534881,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.4,86.78009453718344,,64.15849553716295,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.4,85.0904197552373,,62.794089830444776,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.5,87.96697913996402,,64.69096340229684,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.5,85.91379973961797,,63.33016492034109,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.5,87.73988572080785,,64.42728833680785,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.5,85.6477037162085,,63.0129521950137,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.5,87.61507136299649,,64.60029681600412,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.5,85.87145946508473,,63.288143271070176,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.6000000000000001,88.2475250630527,,64.87849288809014,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.6000000000000001,86.32274123407898,,63.593986536063,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.6000000000000001,88.05552843107861,,64.60256677346398,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.6000000000000001,86.10565059493683,,63.36007212435775,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.6000000000000001,88.11577859445848,,64.83833833419773,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.6000000000000001,86.44593043387833,,63.58883716784073,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.7000000000000001,88.15946529756513,,64.79970660315877,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.7000000000000001,86.55665163109535,,63.75452712168912,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.7000000000000001,88.00508806869489,,64.57851407969416,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.7000000000000001,86.56825775552113,,63.724462196333896,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.7000000000000001,88.04091447097319,,64.71768398194793,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.7000000000000001,86.72193288434502,,63.744478247167535,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.8,87.885283574558,,64.50511052575874,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.8,86.70414359214368,,63.87455643709693,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.8,87.84229328966514,,64.47094193607718,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.8,86.79260117129253,,63.9351836285884,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.8,87.78395286174208,,64.51597543994313,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.8,86.77770007551982,,63.8541431806664,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,0.9,87.53294596363261,,64.25312484851594,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,0.9,86.68860888289946,,63.87537665299662,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,0.9,87.49177664539383,,64.21573219286222,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,0.9,86.70931570322928,,63.86416191128207,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,0.9,87.34910539885536,,64.13115179369464,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,0.9,86.57740937740154,,63.822435985237114,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_trocr_decoded,1.0,86.4015813753814,,63.73305481745203,
SegFreeKWS,semantic_similarity_using_'all-mpnet-base-v2'_segfreekws_decoded,1.0,86.40158137538138,,63.73305481745203,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_trocr_decoded,1.0,86.40158137538138,,63.73305481745203,
SegFreeKWS,semantic_similarity_using_'all-MiniLM-L12-v2'_segfreekws_decoded,1.0,86.4015813753814,,63.73305481745203,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_trocr_decoded,1.0,86.4015813753814,,63.73305481745203,
SegFreeKWS,semantic_similarity_using_'stsb-roberta-base'_segfreekws_decoded,1.0,86.4015813753814,,63.73305481745203,
